feature,feature_decile,row_count,feature_value_min,feature_value_max,mean_feature_value,actual_positive_rate,mean_pred_prob,mean_excess_forward_return
log_volume,8,13,15.80183589880683,16.000167717304727,15.875599038885165,0.7692307692307693,0.4860799014568329,0.009331047271815022
log_volume,9,14,16.042261682437164,16.375694811096864,16.18701177494444,0.35714285714285715,0.5196194052696228,-0.004665640798476008
log_volume,10,14,16.400458677332495,17.26683584867383,16.731760887459533,0.5714285714285714,0.48879364132881165,0.0033170857810056
realized_vol_21d,1,14,0.00545718861329664,0.008262139189814242,0.007390099514022895,0.5714285714285714,0.5249943137168884,0.00897488603640625
realized_vol_21d,2,14,0.00828290283853015,0.009189148242294536,0.008722244746483119,0.5,0.5347790122032166,0.002213000243175009
realized_vol_21d,3,13,0.009341693151557993,0.009974701630090442,0.009701222886382975,0.6923076923076923,0.47874757647514343,0.008543400554994054
realized_vol_21d,4,14,0.009984239272264231,0.010836448373718215,0.010404053369663265,0.5714285714285714,0.48649853467941284,0.010502795533118028
realized_vol_21d,5,14,0.010891349166590573,0.011775341998812422,0.011427374028762814,0.35714285714285715,0.49719759821891785,-0.0010710102255355306
realized_vol_21d,6,13,0.01182747075658036,0.013025669288102965,0.012417628606794597,0.6153846153846154,0.49259355664253235,0.00600411615684703
realized_vol_21d,7,14,0.013026100885268312,0.015349334656871702,0.014134966728882262,0.5,0.5215620994567871,-0.007908132022525206
realized_vol_21d,8,13,0.015444382425675236,0.017018455217473537,0.016168755186489508,0.23076923076923078,0.5819010734558105,-0.013037338166267743
